date,category,amount,description
2021-08-08,Entertainment,119.11,Video games
2021-08-09,Other,88.94,Office supplies
2021-08-10,Other,18.36,Office supplies
2021-08-11,Other,137.58,Personal care items
2021-08-12,Utilities,87.5,Water bill
2021-08-13,Entertainment,54.36,Video games
2021-08-14,Transport,53.94,Parking fees
2021-08-15,Entertainment,71.37,Concert tickets
2021-08-16,Entertainment,122.4,Movie tickets
2021-08-17,Entertainment,45.84,Concert tickets
2021-08-18,Transport,42.93,Car maintenance
2021-08-19,Other,74.23,Personal care items
2021-08-20,Utilities,165.82,Phone bill
2021-08-21,Food,39.81,Coffee and snacks
2021-08-22,Food,79.02,Farmers market
2021-08-23,Utilities,191.75,Electricity bill
2021-08-24,Transport,21.7,Parking fees
2021-08-25,Other,175.48,Personal care items
2021-08-26,Utilities,138.74,Water bill
2021-08-27,Entertainment,62.89,Books
2021-08-28,Transport,47.89,Uber ride
2021-08-29,Utilities,108.25,Electricity bill
2021-08-30,Entertainment,19.17,Video games
2021-08-31,Utilities,206.87,Electricity bill
2021-09-01,Entertainment,36.76,Concert tickets
2021-09-02,Utilities,229.01,Internet bill
2021-09-03,Food,45.52,Grocery shopping
2021-09-04,Transport,8.05,Uber ride
2021-09-05,Entertainment,55.81,Movie tickets
2021-09-06,Utilities,57.9,Electricity bill
2021-09-07,Transport,22.27,Public transport pass
2021-09-08,Utilities,133.05,Phone bill
2021-09-09,Entertainment,120.39,Movie tickets
2021-09-10,Utilities,273.64,Internet bill
2021-09-11,Other,125.94,Personal care items
2021-09-12,Other,75.84,Gift for friend
2021-09-13,Transport,44.44,Gas
2021-09-14,Utilities,255.66,Electricity bill
2021-09-15,Utilities,159.4,Gas bill
2021-09-16,Other,70.2,Office supplies
2021-09-17,Utilities,89.08,Electricity bill
2021-09-18,Utilities,59.08,Gas bill
2021-09-19,Transport,66.01,Public transport pass
2021-09-20,Utilities,104.88,Electricity bill
2021-09-21,Transport,6.31,Public transport pass
2021-09-22,Food,34.08,Takeout lunch
2021-09-23,Food,34.51,Takeout lunch
2021-09-24,Other,38.59,Home decor
2021-09-25,Transport,15.29,Uber ride
2021-09-26,Utilities,231.37,Water bill
2021-09-27,Transport,73.58,Car maintenance
2021-09-28,Entertainment,22.51,Streaming subscription
2021-09-29,Food,59.76,Restaurant dinner
2021-09-30,Utilities,182.95,Internet bill
2021-10-01,Food,27.55,Takeout lunch
2021-10-02,Entertainment,120.4,Video games
2021-10-03,Other,150.84,Office supplies
2021-10-04,Other,72.63,Gift for friend
2021-10-05,Food,44.53,Grocery shopping
2021-10-06,Food,35.7,Farmers market
2021-10-07,Utilities,68.6,Water bill
2021-10-08,Utilities,181.54,Water bill
2021-10-09,Transport,51.72,Car maintenance
2021-10-10,Transport,63.89,Public transport pass
2021-10-11,Utilities,288.09,Phone bill
2021-10-12,Food,86.25,Restaurant dinner
2021-10-13,Transport,60.94,Car maintenance
2021-10-14,Food,47.81,Grocery shopping
2021-10-15,Transport,9.5,Public transport pass
2021-10-16,Entertainment,94.09,Video games
2021-10-17,Food,28.15,Restaurant dinner
2021-10-18,Utilities,134.92,Water bill
2021-10-19,Transport,10.53,Car maintenance
2021-10-20,Other,123.68,Clothing purchase
2021-10-21,Food,34.45,Takeout lunch
2021-10-22,Other,22.87,Office supplies
2021-10-23,Food,88.93,Restaurant dinner
2021-10-24,Transport,66.13,Uber ride
2021-10-25,Entertainment,141.52,Concert tickets
2021-10-26,Utilities,226.77,Phone bill
2021-10-27,Food,89.44,Grocery shopping
2021-10-28,Other,186.88,Personal care items
2021-10-29,Food,26.75,Takeout lunch
2021-10-30,Entertainment,36.91,Concert tickets
2021-10-31,Food,26.63,Grocery shopping
2021-11-01,Food,32.6,Restaurant dinner
2021-11-02,Food,44.28,Grocery shopping
2021-11-03,Other,95.25,Gift for friend
2021-11-04,Entertainment,130.39,Books
2021-11-05,Other,97.95,Office supplies
2021-11-06,Entertainment,47.23,Books
2021-11-07,Utilities,80.62,Phone bill
2021-11-08,Other,158.07,Office supplies
2021-11-09,Transport,21.95,Car maintenance
2021-11-10,Other,64.54,Clothing purchase
2021-11-11,Utilities,93.72,Electricity bill
2021-11-12,Transport,77.67,Gas
2021-11-13,Utilities,295.85,Phone bill
2021-11-14,Other,136.72,Gift for friend
2021-11-15,Entertainment,119.99,Concert tickets
2021-11-16,Transport,32.7,Uber ride
2021-11-17,Utilities,111.5,Water bill
2021-11-18,Transport,30.77,Parking fees
2021-11-19,Transport,35.56,Parking fees
2021-11-20,Transport,10.86,Uber ride
2021-11-21,Entertainment,46.21,Movie tickets
2021-11-22,Entertainment,86.29,Streaming subscription
2021-11-23,Entertainment,78.16,Video games
2021-11-24,Entertainment,86.19,Movie tickets
2021-11-25,Transport,6.12,Uber ride
2021-11-26,Utilities,220.03,Electricity bill
2021-11-27,Entertainment,73.04,Video games
2021-11-28,Transport,65.88,Parking fees
2021-11-29,Entertainment,45.17,Streaming subscription
2021-11-30,Utilities,272.23,Phone bill
2021-12-01,Transport,9.83,Car maintenance
2021-12-02,Other,24.43,Personal care items
2021-12-03,Other,156.93,Clothing purchase
2021-12-04,Food,69.17,Restaurant dinner
2021-12-05,Other,32.35,Gift for friend
2021-12-06,Food,25.13,Farmers market
2021-12-07,Food,52.11,Takeout lunch
2021-12-08,Other,116.81,Personal care items
2021-12-09,Food,11.48,Coffee and snacks
2021-12-10,Utilities,95.67,Internet bill
2021-12-11,Entertainment,27.16,Movie tickets
2021-12-12,Food,68.67,Farmers market
2021-12-13,Utilities,260.09,Gas bill
2021-12-14,Other,120.79,Home decor
2021-12-15,Transport,8.41,Gas
2021-12-16,Utilities,207.56,Internet bill
2021-12-17,Other,117.2,Home decor
2021-12-18,Utilities,212.0,Gas bill
2021-12-19,Utilities,181.11,Water bill
2021-12-20,Other,52.03,Gift for friend
2021-12-21,Other,192.81,Clothing purchase
2021-12-22,Other,59.6,Personal care items
2021-12-23,Utilities,212.57,Water bill
2021-12-24,Other,184.77,Home decor
2021-12-25,Other,73.45,Gift for friend
2021-12-26,Food,62.26,Takeout lunch
2021-12-27,Entertainment,65.35,Books
2021-12-28,Transport,18.3,Public transport pass
2021-12-29,Other,168.5,Personal care items
2021-12-30,Utilities,67.24,Water bill
2021-12-31,Entertainment,149.86,Concert tickets
2022-01-01,Entertainment,115.23,Books
2022-01-02,Other,67.72,Office supplies
2022-01-03,Entertainment,122.91,Video games
2022-01-04,Utilities,162.46,Internet bill
2022-01-05,Utilities,149.6,Internet bill
2022-01-06,Transport,73.36,Car maintenance
2022-01-07,Other,85.9,Personal care items
2022-01-08,Other,77.31,Home decor
2022-01-09,Other,100.16,Home decor
2022-01-10,Food,78.54,Farmers market
2022-01-11,Other,6.23,Office supplies
2022-01-12,Food,55.53,Coffee and snacks
2022-01-13,Entertainment,28.14,Movie tickets
2022-01-14,Utilities,285.18,Phone bill
2022-01-15,Transport,20.19,Parking fees
2022-01-16,Food,40.34,Restaurant dinner
2022-01-17,Transport,69.11,Uber ride
2022-01-18,Utilities,253.35,Gas bill
2022-01-19,Transport,59.01,Gas
2022-01-20,Transport,27.21,Public transport pass
2022-01-21,Utilities,138.17,Electricity bill
2022-01-22,Entertainment,144.99,Streaming subscription
2022-01-23,Food,88.23,Coffee and snacks
2022-01-24,Transport,16.25,Parking fees
2022-01-25,Food,76.56,Farmers market
2022-01-26,Food,32.05,Farmers market
2022-01-27,Food,39.37,Coffee and snacks
2022-01-28,Other,176.39,Office supplies
2022-01-29,Utilities,93.37,Electricity bill
2022-01-30,Entertainment,124.6,Concert tickets
2022-01-31,Other,39.75,Gift for friend
2022-02-01,Transport,29.04,Gas
2022-02-02,Other,51.07,Clothing purchase
2022-02-03,Other,110.66,Clothing purchase
2022-02-04,Food,91.93,Coffee and snacks
2022-02-05,Utilities,237.76,Phone bill
2022-02-06,Entertainment,90.22,Books
2022-02-07,Utilities,83.53,Internet bill
2022-02-08,Transport,64.59,Car maintenance
2022-02-09,Utilities,62.36,Phone bill
2022-02-10,Utilities,236.21,Phone bill
2022-02-11,Utilities,107.6,Internet bill
2022-02-12,Other,168.95,Home decor
2022-02-13,Entertainment,127.46,Video games
2022-02-14,Food,19.83,Restaurant dinner
2022-02-15,Entertainment,78.93,Video games
2022-02-16,Transport,64.44,Public transport pass
2022-02-17,Food,25.71,Grocery shopping
2022-02-18,Utilities,139.13,Phone bill
2022-02-19,Entertainment,73.1,Video games
2022-02-20,Entertainment,149.17,Books
2022-02-21,Utilities,61.73,Phone bill
2022-02-22,Other,39.66,Personal care items
2022-02-23,Other,187.99,Gift for friend
2022-02-24,Other,113.49,Gift for friend
2022-02-25,Other,61.22,Gift for friend
2022-02-26,Transport,10.53,Gas
2022-02-27,Entertainment,84.76,Books
2022-02-28,Entertainment,101.53,Streaming subscription
2022-03-01,Other,186.91,Home decor
2022-03-02,Transport,35.38,Parking fees
2022-03-03,Other,176.18,Clothing purchase
2022-03-04,Transport,32.96,Parking fees
2022-03-05,Other,13.13,Personal care items
2022-03-06,Utilities,103.45,Gas bill
2022-03-07,Food,65.94,Grocery shopping
2022-03-08,Other,94.63,Gift for friend
2022-03-09,Utilities,146.0,Phone bill
2022-03-10,Entertainment,138.17,Streaming subscription
2022-03-11,Transport,73.95,Parking fees
2022-03-12,Food,61.38,Coffee and snacks
2022-03-13,Food,13.74,Farmers market
2022-03-14,Transport,41.61,Uber ride
2022-03-15,Food,80.88,Takeout lunch
2022-03-16,Entertainment,131.3,Video games
2022-03-17,Utilities,186.44,Phone bill
2022-03-18,Food,61.37,Farmers market
2022-03-19,Other,99.99,Gift for friend
2022-03-20,Food,79.69,Restaurant dinner
2022-03-21,Utilities,51.72,Gas bill
2022-03-22,Transport,45.13,Uber ride
2022-03-23,Other,133.02,Home decor
2022-03-24,Entertainment,130.19,Concert tickets
2022-03-25,Food,67.5,Farmers market
2022-03-26,Food,91.81,Farmers market
2022-03-27,Food,18.3,Restaurant dinner
2022-03-28,Entertainment,33.67,Concert tickets
2022-03-29,Entertainment,96.69,Video games
2022-03-30,Utilities,127.14,Internet bill
2022-03-31,Transport,51.26,Public transport pass
2022-04-01,Transport,71.69,Gas
2022-04-02,Utilities,128.95,Electricity bill
2022-04-03,Entertainment,87.81,Video games
2022-04-04,Other,124.73,Home decor
2022-04-05,Utilities,161.04,Internet bill
2022-04-06,Utilities,278.52,Gas bill
2022-04-07,Transport,65.85,Uber ride
2022-04-08,Entertainment,91.5,Streaming subscription
2022-04-09,Transport,38.03,Parking fees
2022-04-10,Food,24.24,Restaurant dinner
2022-04-11,Utilities,212.91,Phone bill
2022-04-12,Other,121.66,Gift for friend
2022-04-13,Food,57.81,Farmers market
2022-04-14,Entertainment,73.02,Video games
2022-04-15,Transport,47.48,Gas
2022-04-16,Other,45.73,Gift for friend
2022-04-17,Transport,45.59,Uber ride
2022-04-18,Other,149.03,Home decor
2022-04-19,Other,177.9,Personal care items
2022-04-20,Entertainment,10.49,Streaming subscription
2022-04-21,Transport,62.94,Car maintenance
2022-04-22,Entertainment,58.33,Books
2022-04-23,Transport,76.45,Parking fees
2022-04-24,Other,122.07,Office supplies
2022-04-25,Entertainment,83.83,Concert tickets
2022-04-26,Entertainment,18.8,Concert tickets
2022-04-27,Utilities,165.9,Water bill
2022-04-28,Food,48.24,Takeout lunch
2022-04-29,Transport,30.11,Public transport pass
2022-04-30,Food,59.69,Farmers market
2022-05-01,Utilities,77.91,Internet bill
2022-05-02,Other,166.0,Gift for friend
2022-05-03,Entertainment,79.45,Books
2022-05-04,Transport,57.85,Gas
2022-05-05,Other,158.6,Office supplies
2022-05-06,Transport,65.13,Parking fees
2022-05-07,Food,59.31,Coffee and snacks
2022-05-08,Utilities,202.44,Phone bill
2022-05-09,Food,49.7,Grocery shopping
2022-05-10,Other,92.6,Clothing purchase
2022-05-11,Utilities,114.09,Electricity bill
2022-05-12,Other,174.74,Gift for friend
2022-05-13,Food,76.71,Takeout lunch
2022-05-14,Food,36.33,Coffee and snacks
2022-05-15,Transport,5.95,Gas
2022-05-16,Entertainment,122.54,Movie tickets
2022-05-17,Food,44.06,Farmers market
2022-05-18,Transport,68.74,Public transport pass
2022-05-19,Food,48.69,Takeout lunch
2022-05-20,Entertainment,93.36,Video games
2022-05-21,Entertainment,45.48,Concert tickets
2022-05-22,Utilities,286.39,Water bill
2022-05-23,Utilities,212.22,Gas bill
2022-05-24,Utilities,236.4,Internet bill
2022-05-25,Utilities,120.6,Electricity bill
2022-05-26,Entertainment,93.78,Books
2022-05-27,Entertainment,17.06,Movie tickets
2022-05-28,Food,29.7,Takeout lunch
2022-05-29,Food,97.99,Farmers market
2022-05-30,Food,37.81,Takeout lunch
2022-05-31,Utilities,190.53,Internet bill
2022-06-01,Other,75.31,Gift for friend
2022-06-02,Entertainment,72.29,Concert tickets
2022-06-03,Other,130.5,Office supplies
2022-06-04,Entertainment,89.96,Streaming subscription
2022-06-05,Food,91.73,Coffee and snacks
2022-06-06,Entertainment,148.82,Video games
2022-06-07,Entertainment,38.74,Movie tickets
2022-06-08,Utilities,212.11,Gas bill
2022-06-09,Other,160.03,Clothing purchase
2022-06-10,Entertainment,22.08,Streaming subscription
2022-06-11,Other,100.28,Gift for friend
2022-06-12,Food,57.44,Takeout lunch
2022-06-13,Transport,44.9,Gas
2022-06-14,Utilities,281.2,Gas bill
2022-06-15,Food,30.6,Coffee and snacks
2022-06-16,Transport,55.86,Gas
2022-06-17,Transport,51.01,Parking fees
2022-06-18,Food,77.47,Restaurant dinner
2022-06-19,Food,85.46,Grocery shopping
2022-06-20,Other,56.71,Office supplies
2022-06-21,Other,105.07,Personal care items
2022-06-22,Transport,62.11,Public transport pass
2022-06-23,Food,80.58,Takeout lunch
2022-06-24,Food,44.45,Grocery shopping
2022-06-25,Utilities,98.14,Water bill
2022-06-26,Entertainment,89.88,Video games
2022-06-27,Other,126.94,Personal care items
2022-06-28,Entertainment,91.87,Video games
2022-06-29,Transport,20.47,Uber ride
2022-06-30,Entertainment,43.1,Books
2022-07-01,Food,82.14,Coffee and snacks
2022-07-02,Utilities,83.64,Electricity bill
2022-07-03,Other,128.37,Clothing purchase
2022-07-04,Other,83.61,Clothing purchase
2022-07-05,Other,99.47,Gift for friend
2022-07-06,Other,183.41,Clothing purchase
2022-07-07,Entertainment,142.78,Movie tickets
2022-07-08,Other,164.54,Personal care items
2022-07-09,Utilities,240.82,Gas bill
2022-07-10,Other,73.7,Home decor
2022-07-11,Transport,32.17,Public transport pass
2022-07-12,Food,13.55,Farmers market
2022-07-13,Other,110.99,Personal care items
2022-07-14,Food,40.75,Takeout lunch
2022-07-15,Utilities,257.5,Water bill
2022-07-16,Utilities,284.49,Internet bill
2022-07-17,Food,93.12,Grocery shopping
2022-07-18,Transport,38.44,Car maintenance
2022-07-19,Transport,40.21,Gas
2022-07-20,Utilities,165.57,Electricity bill
2022-07-21,Utilities,281.46,Water bill
2022-07-22,Utilities,155.33,Phone bill
2022-07-23,Utilities,239.2,Phone bill
2022-07-24,Utilities,256.21,Water bill
2022-07-25,Transport,50.74,Uber ride
2022-07-26,Transport,6.14,Uber ride
2022-07-27,Entertainment,141.79,Books
2022-07-28,Other,51.61,Office supplies
2022-07-29,Food,44.97,Takeout lunch
2022-07-30,Utilities,162.94,Electricity bill
2022-07-31,Entertainment,88.75,Books
2022-08-01,Utilities,59.51,Phone bill
2022-08-02,Other,88.57,Clothing purchase
2022-08-03,Utilities,61.26,Gas bill
2022-08-04,Utilities,172.43,Electricity bill
2022-08-05,Utilities,226.97,Water bill
2022-08-06,Food,91.68,Takeout lunch
2022-08-07,Transport,54.54,Public transport pass
2022-08-08,Transport,13.76,Car maintenance
2022-08-09,Entertainment,43.93,Concert tickets
2022-08-10,Food,99.18,Coffee and snacks
2022-08-11,Food,21.08,Coffee and snacks
2022-08-12,Entertainment,138.07,Concert tickets
2022-08-13,Food,61.57,Grocery shopping
2022-08-14,Utilities,200.94,Electricity bill
2022-08-15,Transport,66.7,Parking fees
2022-08-16,Entertainment,149.42,Video games
2022-08-17,Entertainment,139.01,Books
2022-08-18,Other,130.54,Home decor
2022-08-19,Food,69.85,Coffee and snacks
2022-08-20,Other,190.48,Clothing purchase
2022-08-21,Utilities,138.97,Gas bill
2022-08-22,Food,60.62,Restaurant dinner
2022-08-23,Other,41.7,Clothing purchase
2022-08-24,Transport,35.79,Public transport pass
2022-08-25,Transport,25.24,Uber ride
2022-08-26,Food,73.59,Grocery shopping
2022-08-27,Utilities,220.96,Water bill
2022-08-28,Utilities,142.81,Water bill
2022-08-29,Utilities,289.64,Phone bill
2022-08-30,Utilities,162.93,Phone bill
2022-08-31,Other,87.5,Home decor
2022-09-01,Food,79.36,Restaurant dinner
2022-09-02,Utilities,214.0,Electricity bill
2022-09-03,Entertainment,85.51,Books
2022-09-04,Other,151.76,Clothing purchase
2022-09-05,Transport,51.68,Uber ride
2022-09-06,Entertainment,20.65,Movie tickets
2022-09-07,Food,54.63,Farmers market
2022-09-08,Food,59.9,Coffee and snacks
2022-09-09,Transport,79.79,Public transport pass
2022-09-10,Utilities,167.19,Internet bill
2022-09-11,Utilities,280.15,Internet bill
2022-09-12,Transport,34.69,Parking fees
2022-09-13,Food,83.42,Farmers market
2022-09-14,Entertainment,11.22,Video games
2022-09-15,Transport,26.31,Car maintenance
2022-09-16,Entertainment,23.06,Concert tickets
2022-09-17,Other,180.58,Personal care items
2022-09-18,Other,92.33,Home decor
2022-09-19,Transport,55.67,Car maintenance
2022-09-20,Utilities,108.9,Electricity bill
2022-09-21,Transport,72.21,Gas
2022-09-22,Transport,73.11,Uber ride
2022-09-23,Utilities,252.76,Electricity bill
2022-09-24,Utilities,212.81,Electricity bill
2022-09-25,Food,64.57,Farmers market
2022-09-26,Transport,26.03,Car maintenance
2022-09-27,Transport,40.49,Gas
2022-09-28,Food,23.24,Takeout lunch
2022-09-29,Entertainment,20.99,Concert tickets
2022-09-30,Other,25.05,Personal care items
2022-10-01,Food,76.9,Farmers market
2022-10-02,Entertainment,110.52,Movie tickets
2022-10-03,Transport,66.4,Uber ride
2022-10-04,Other,79.07,Gift for friend
2022-10-05,Food,29.71,Takeout lunch
2022-10-06,Transport,6.6,Parking fees
2022-10-07,Food,85.57,Takeout lunch
2022-10-08,Transport,39.26,Public transport pass
2022-10-09,Food,22.68,Farmers market
2022-10-10,Entertainment,87.4,Video games
